2.818598 0.000000 0.000000
-1.409299 2.440978 0.000000
0.000000 0.000000 46.903955
30.000000 0.000000 0.000000
0.000000 30.000000 0.000000
0.000000 0.000000 1.000000
0.333333 0.666667 0.599371 Vac
0.666667 0.333333 0.610455 Vac
1.333333 0.666667 0.599371 Vac
1.666667 0.333333 0.610455 Vac
2.333333 0.666667 0.599371 Vac
2.666667 0.333333 0.610455 Vac
3.333333 0.666667 0.599371 Vac
3.666667 0.333333 0.610455 Vac
4.333333 0.666667 0.599371 Vac
4.666667 0.333333 0.610455 Vac
5.333333 0.666667 0.599371 Vac
5.666667 0.333333 0.610455 Vac
6.333333 0.666667 0.599371 Vac
6.666667 0.333333 0.610455 Vac
7.333333 0.666667 0.599371 Vac
7.666667 0.333333 0.610455 Vac
8.333333 0.666667 0.599371 Vac
8.666667 0.333333 0.610455 Vac
9.333333 0.666667 0.599371 Vac
9.666667 0.333333 0.610455 Vac
10.333333 0.666667 0.599371 Vac
10.666667 0.333333 0.610455 Vac
11.333333 0.666667 0.599371 Vac
11.666667 0.333333 0.610455 Vac
12.333333 0.666667 0.599371 Vac
12.666667 0.333333 0.610455 Vac
13.333333 0.666667 0.599371 Vac
13.666667 0.333333 0.610455 Vac
14.333333 0.666667 0.599371 Vac
14.666667 0.333333 0.610455 Vac
15.333333 0.666667 0.599371 Vac
15.666667 0.333333 0.610455 Vac
16.333333 0.666667 0.599371 Vac
16.666667 0.333333 0.610455 Vac
17.333333 0.666667 0.599371 Vac
17.666667 0.333333 0.610455 Vac
18.333333 0.666667 0.599371 Vac
18.666667 0.333333 0.610455 Vac
19.333333 0.666667 0.599371 Vac
19.666667 0.333333 0.610455 Vac
20.333333 0.666667 0.599371 Vac
20.666667 0.333333 0.610455 Vac
21.333333 0.666667 0.599371 Vac
21.666667 0.333333 0.610455 Vac
22.333333 0.666667 0.599371 Vac
22.666667 0.333333 0.610455 Vac
23.333333 0.666667 0.599371 Vac
23.666667 0.333333 0.610455 Vac
24.333333 0.666667 0.599371 Vac
24.666667 0.333333 0.610455 Vac
25.333333 0.666667 0.599371 Vac
25.666667 0.333333 0.610455 Vac
26.333333 0.666667 0.599371 Vac
26.666667 0.333333 0.610455 Vac
27.333333 0.666667 0.599371 Vac
27.666667 0.333333 0.610455 Vac
28.333333 0.666667 0.599371 Vac
28.666667 0.333333 0.610455 Vac
29.333333 0.666667 0.599371 Vac
29.666667 0.333333 0.610455 Vac
0.333333 1.666667 0.599371 Vac
0.666667 1.333333 0.610455 Vac
1.333333 1.666667 0.599371 Vac
1.666667 1.333333 0.610455 Vac
2.333333 1.666667 0.599371 Vac
2.666667 1.333333 0.610455 Vac
3.333333 1.666667 0.599371 Vac
3.666667 1.333333 0.610455 Vac
4.333333 1.666667 0.599371 Vac
4.666667 1.333333 0.610455 Vac
5.333333 1.666667 0.599371 Vac
5.666667 1.333333 0.610455 Vac
6.333333 1.666667 0.599371 Vac
6.666667 1.333333 0.610455 Vac
7.333333 1.666667 0.599371 Vac
7.666667 1.333333 0.610455 Vac
8.333333 1.666667 0.599371 Vac
8.666667 1.333333 0.610455 Vac
9.333333 1.666667 0.599371 Vac
9.666667 1.333333 0.610455 Vac
10.333333 1.666667 0.599371 Vac
10.666667 1.333333 0.610455 Vac
11.333333 1.666667 0.599371 Vac
11.666667 1.333333 0.610455 Vac
12.333333 1.666667 0.599371 Vac
12.666667 1.333333 0.610455 Vac
13.333333 1.666667 0.599371 Vac
13.666667 1.333333 0.610455 Vac
14.333333 1.666667 0.599371 Vac
14.666667 1.333333 0.610455 Vac
15.333333 1.666667 0.599371 Vac
15.666667 1.333333 0.610455 Vac
16.333333 1.666667 0.599371 Vac
16.666667 1.333333 0.610455 Vac
17.333333 1.666667 0.599371 Vac
17.666667 1.333333 0.610455 Vac
18.333333 1.666667 0.599371 Vac
18.666667 1.333333 0.610455 Vac
19.333333 1.666667 0.599371 Vac
19.666667 1.333333 0.610455 Vac
20.333333 1.666667 0.599371 Vac
20.666667 1.333333 0.610455 Vac
21.333333 1.666667 0.599371 Vac
21.666667 1.333333 0.610455 Vac
22.333333 1.666667 0.599371 Vac
22.666667 1.333333 0.610455 Vac
23.333333 1.666667 0.599371 Vac
23.666667 1.333333 0.610455 Vac
24.333333 1.666667 0.599371 Vac
24.666667 1.333333 0.610455 Vac
25.333333 1.666667 0.599371 Vac
25.666667 1.333333 0.610455 Vac
26.333333 1.666667 0.599371 Vac
26.666667 1.333333 0.610455 Vac
27.333333 1.666667 0.599371 Vac
27.666667 1.333333 0.610455 Vac
28.333333 1.666667 0.599371 Vac
28.666667 1.333333 0.610455 Vac
29.333333 1.666667 0.599371 Vac
29.666667 1.333333 0.610455 Vac
0.333333 2.666667 0.599371 Vac
0.666667 2.333333 0.610455 Vac
1.333333 2.666667 0.599371 Vac
1.666667 2.333333 0.610455 Vac
2.333333 2.666667 0.599371 Vac
2.666667 2.333333 0.610455 Vac
3.333333 2.666667 0.599371 Vac
3.666667 2.333333 0.610455 Vac
4.333333 2.666667 0.599371 Vac
4.666667 2.333333 0.610455 Vac
5.333333 2.666667 0.599371 Vac
5.666667 2.333333 0.610455 Vac
6.333333 2.666667 0.599371 Vac
6.666667 2.333333 0.610455 Vac
7.333333 2.666667 0.599371 Vac
7.666667 2.333333 0.610455 Vac
8.333333 2.666667 0.599371 Vac
8.666667 2.333333 0.610455 Vac
9.333333 2.666667 0.599371 Vac
9.666667 2.333333 0.610455 Vac
10.333333 2.666667 0.599371 Vac
10.666667 2.333333 0.610455 Vac
11.333333 2.666667 0.599371 Vac
11.666667 2.333333 0.610455 Vac
12.333333 2.666667 0.599371 Vac
12.666667 2.333333 0.610455 Vac
13.333333 2.666667 0.599371 Vac
13.666667 2.333333 0.610455 Vac
14.333333 2.666667 0.599371 Vac
14.666667 2.333333 0.610455 Vac
15.333333 2.666667 0.599371 Vac
15.666667 2.333333 0.610455 Vac
16.333333 2.666667 0.599371 Vac
16.666667 2.333333 0.610455 Vac
17.333333 2.666667 0.599371 Vac
17.666667 2.333333 0.610455 Vac
18.333333 2.666667 0.599371 Vac
18.666667 2.333333 0.610455 Vac
19.333333 2.666667 0.599371 Vac
19.666667 2.333333 0.610455 Vac
20.333333 2.666667 0.599371 Vac
20.666667 2.333333 0.610455 Vac
21.333333 2.666667 0.599371 Vac
21.666667 2.333333 0.610455 Vac
22.333333 2.666667 0.599371 Vac
22.666667 2.333333 0.610455 Vac
23.333333 2.666667 0.599371 Vac
23.666667 2.333333 0.610455 Vac
24.333333 2.666667 0.599371 Vac
24.666667 2.333333 0.610455 Vac
25.333333 2.666667 0.599371 Vac
25.666667 2.333333 0.610455 Vac
26.333333 2.666667 0.599371 Vac
26.666667 2.333333 0.610455 Vac
27.333333 2.666667 0.599371 Vac
