Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_1,0,0,-0.01824,0,0.01824,RMSE,0.053419375
str_2,1,1,0.93984,0.988103,0.048263,Max_Error,0.099351
str_3,1,0,-0.14028,-0.060461959,0.079818041,Satndard_Deviation,0.029036625
str_4,0,1,-0.2298,-0.324552747,0.094752747,,
str_32,0,0.333333333,-0.304441,-0.333199581,0.028758581,,
str_39,1,0.333333333,-0.179033,-0.206783082,0.027750082,,
str_42,0.666666667,1,0.512518,0.43385,0.078668,,
str_89,0,0.25,-0.12012,-0.025699215,0.094420785,,
str_93,0.25,0.25,-0.23832,-0.234005596,0.004314404,,
str_109,0.75,0.75,0.28152,0.325099236,0.043579236,,
str_141,0,0.75,-0.447641,-0.392819473,0.054821527,,
str_155,0.75,0.25,-0.347844,-0.385572707,0.037728707,,
str_157,0.5,0.5,-0.208168,-0.134849111,0.073318889,,
str_162,0.25,0.75,-0.523205,-0.507528768,0.015676232,,
str_173,0.2,0,-0.03828,-0.087519,0.049239,,
str_174,0,0.2,-0.289241,-0.272562,0.016679,,
str_178,0.2,0.2,-0.2758,-0.344901,0.069101,,
str_179,0,0.4,-0.58128,-0.504472,0.076808,,
str_184,0.4,0,-0.011759,0.049866239,0.061625239,,
str_197,0.2,0.4,-0.593079,-0.544048,0.049031,,
str_212,0.6,0,-0.133799,-0.13095512,0.00284388,,
str_214,0.4,0.2,-0.288767,-0.297690375,0.008923375,,
str_218,0.8,0,-0.26904,-0.302592,0.033552,,
str_221,0.6,0.2,-0.377118,-0.415084,0.037966,,
str_224,0.8,0.2,-0.372081,-0.420683,0.048602,,
str_228,0.4,0.4,-0.458085,-0.548008,0.089923,,
str_244,0,0.6,-0.45612,-0.400847757,0.055272243,,
str_245,0.2,0.6,-0.697878,-0.617117,0.080761,,
str_271,0.4,0.6,-0.591168,-0.570948,0.02022,,
str_278,0.6,0.6,-0.248564,-0.201625237,0.046938763,,
str_284,1,0.2,-0.407919,-0.398346,0.009573,,
str_285,0.8,0.4,-0.470556,-0.466551,0.004005,,
str_286,1,0.4,0.0582825,0.088153355,0.029870855,,
str_301,0.4,1,-0.416445,-0.403177,0.013268,,
str_412,0,0.8,-0.677439,-0.638039,0.0394,,
str_467,0.6,0.4,-0.322671,-0.273428987,0.049242013,,
str_481,0.2,0.8,-0.752994,-0.821488337,0.068494337,,
str_527,0.166666667,0.166666667,-0.191932,-0.280673,0.088741,,
str_627,0.166666667,0.333333333,-0.52681,-0.46843,0.05838,,
str_1083,0.666666667,0.5,-0.37116,-0.419241,0.048081,,
