2.818598 0.000000 0.000000
-1.409299 2.440978 0.000000
0.000000 0.000000 46.903955
1.000000 -1.000000 0.000000
1.000000 2.000000 0.000000
0.000000 -0.000000 1.000000
1.333333 -0.333333 0.599371 H
0.666667 0.333333 0.610455 O
0.666667 0.333333 0.426403 Pt
1.333333 -0.333333 0.475468 Pt
2.000000 1.000000 0.522990 Pt
0.666667 0.333333 0.571157 Pt
1.333333 0.666667 0.599371 H
1.666667 0.333333 0.610455 O
1.666667 0.333333 0.426403 Pt
1.333333 0.666667 0.475468 Pt
1.000000 -0.000000 0.522990 Pt
1.666667 0.333333 0.571157 Pt
1.333333 1.666667 0.599371 Vac
1.666667 1.333333 0.610455 O
1.666667 1.333333 0.426403 Pt
1.333333 1.666667 0.475468 Pt
1.000000 1.000000 0.522990 Pt
1.666667 1.333333 0.571157 Pt
