2.818598 0.000000 0.000000
-1.409299 2.440978 0.000000
0.000000 0.000000 46.903955
-4.000000 -3.000000 0.000000
-3.000000 -4.000000 0.000000
0.000000 0.000000 1.000000
-2.666667 -1.333333 -0.400629 H
-2.333333 -1.666667 -0.389545 O
-2.333333 -1.666667 -0.573597 Pt
-2.666667 -1.333333 -0.524532 Pt
-3.000000 -2.000000 -0.477010 Pt
-2.333333 -1.666667 -0.428843 Pt
-1.666667 -0.333333 -0.400629 H
-1.333333 -0.666667 -0.389545 Vac
-1.333333 -0.666667 -0.573597 Pt
-1.666667 -0.333333 -0.524532 Pt
-2.000000 -1.000000 -0.477010 Pt
-1.333333 -0.666667 -0.428843 Pt
-0.666667 0.666667 -0.400629 H
-0.333333 0.333333 -0.389545 Vac
-0.333333 0.333333 -0.573597 Pt
-0.666667 0.666667 -0.524532 Pt
-1.000000 0.000000 -0.477010 Pt
-0.333333 0.333333 -0.428843 Pt
0.333333 0.666667 -0.400629 H
-0.333333 1.333333 -0.389545 Vac
-0.333333 1.333333 -0.573597 Pt
0.333333 0.666667 -0.524532 Pt
-1.000000 1.000000 -0.477010 Pt
-0.333333 1.333333 -0.428843 Pt
0.333333 1.666667 -0.400629 H
0.666667 1.333333 -0.389545 Vac
0.666667 1.333333 -0.573597 Pt
0.333333 1.666667 -0.524532 Pt
-0.000000 1.000000 -0.477010 Pt
0.666667 1.333333 -0.428843 Pt
1.333333 2.666667 -0.400629 H
1.666667 2.333333 -0.389545 Vac
1.666667 2.333333 -0.573597 Pt
1.333333 2.666667 -0.524532 Pt
1.000000 2.000000 -0.477010 Pt
1.666667 2.333333 -0.428843 Pt
-0.666667 -0.333333 -0.400629 H
-1.333333 0.333333 -0.389545 Vac
-1.333333 0.333333 -0.573597 Pt
-0.666667 -0.333333 -0.524532 Pt
2.000000 3.000000 -0.477010 Pt
-1.333333 0.333333 -0.428843 Pt
