Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_1,0,0,-0.04746,0,0.04746,RMSE,0.051351948
str_2,1,1,0.81126,0.909626,0.098366,Max_Error,0.099236504
str_3,1,0,-0.13254,-0.137570853,0.005030853,Satndard_Deviation,0.029001453
str_4,0,1,-0.23262,-0.254867196,0.022247196,,
str_32,0,0.333333333,-0.196501,-0.195688405,0.000812595,,
str_39,1,0.333333333,-0.227093,-0.250720761,0.023627761,,
str_40,1,0.666666667,0.270299,0.281792318,0.011493318,,
str_42,0.666666667,1,0.493258,0.521301819,0.028043819,,
str_89,0,0.25,-0.04236,-0.032122145,0.010237855,,
str_93,0.25,0.25,-0.35832,-0.435204,0.076884,,
str_109,0.75,0.75,0.19368,0.125126772,0.068553228,,
str_141,0,0.75,-0.495562,-0.458471382,0.037090618,,
str_155,0.75,0.25,-0.364884,-0.389382046,0.024498046,,
str_157,0.5,0.5,-0.212086,-0.23225361,0.02016761,,
str_162,0.25,0.75,-0.521844,-0.578976922,0.057132922,,
str_173,0.2,0,-0.03726,-0.088056,0.050796,,
str_174,0,0.2,-0.2719,-0.279864,0.007964,,
str_178,0.2,0.2,-0.167781,-0.12888968,0.03889132,,
str_179,0,0.4,-0.461061,-0.519688,0.058627,,
str_184,0.4,0,-0.0272988,-0.032675889,0.005377089,,
str_212,0.6,0,-0.112379,-0.127914645,0.015535645,,
str_214,0.4,0.2,-0.253743,-0.240691273,0.013051727,,
str_218,0.8,0,-0.2925,-0.3178,0.0253,,
str_224,0.8,0.2,-0.48546,-0.443568,0.041892,,
str_227,0.2,0.4,-0.458784,-0.557489,0.098705,,
str_228,0.4,0.4,-0.453102,-0.449863005,0.003238995,,
str_244,0,0.6,-0.511179,-0.510509303,0.000669697,,
str_245,0.2,0.6,-0.545658,-0.642963,0.097305,,
str_271,0.4,0.6,-0.501585,-0.490976008,0.010608992,,
str_278,0.6,0.6,-0.402981,-0.443218,0.040237,,
str_284,1,0.2,-0.472659,-0.428828,0.043831,,
str_285,0.8,0.4,-0.548178,-0.500271,0.047907,,
str_286,1,0.4,-0.135737,-0.186986906,0.051249906,,
str_357,0.6,0.2,-0.398655,-0.421632,0.022977,,
str_412,0,0.8,-0.728178,-0.670863,0.057315,,
str_467,0.6,0.4,-0.344613,-0.356059761,0.011446761,,
str_481,0.2,0.8,-0.754455,-0.728812328,0.025642672,,
str_489,0.6,0.8,0.201943,0.300590039,0.098647039,,
str_527,0.166666667,0.166666667,-0.186089,-0.150005163,0.036083837,,
str_627,0.166666667,0.333333333,-0.448366,-0.484522,0.036156,,
str_1083,0.666666667,0.5,-0.402725,-0.456628,0.053903,,
str_1086,0.5,0.666666667,-0.29064,-0.333414546,0.042774546,,
str_1179,0.166666667,0,-0.179761,-0.091099,0.088662,,
str_1191,0.333333333,0,-0.0747605,-0.173008,0.0982475,,
str_1229,0.5,0,-0.15984,-0.255398,0.095558,,
str_1241,0.666666667,0,-0.435002,-0.465966368,0.030964368,,
str_1275,0.333333333,0.166666667,-0.341193,-0.355922,0.014729,,
str_1406,0.5,0.166666667,-0.350193,-0.426358,0.076165,,
str_1408,0.833333333,0,-0.520081,-0.523878084,0.003797084,,
str_1459,0.5,0.333333333,-0.375829,-0.409250165,0.033421165,,
str_1544,0.666666667,0.166666667,-0.531194,-0.495769,0.035425,,
str_1579,0.333333333,0.5,-0.495274,-0.533557911,0.038283911,,
str_1589,0.166666667,0.666666667,-0.805039,-0.815863399,0.010824399,,
str_1592,0,0.833333333,-0.960797,-1.019836804,0.059039804,,
