Structure_ID,H_Coverage,O_Coverage,CE_Predicted_Formation_Energy,DFT_Formation_Energy,Error_Formation_Energy,,
str_1,0,0,-0.0225,0,0.0225,RMSE,0.058166102
str_2,1,1,0.6933,0.742195,0.048895,Max_Error,0.111286
str_3,1,0,-0.16194,-0.089822679,0.072117321,Satndard_Deviation,0.032670698
str_4,0,1,-0.3075,-0.29772155,0.00977845,,
str_32,0,0.333333333,-0.422102,-0.502559,0.080457,,
str_39,1,0.333333333,-0.338575,-0.427769617,0.089194617,,
str_42,0.666666667,1,0.352377,0.296261769,0.056115231,,
str_89,0,0.25,-0.24012,-0.252124804,0.012004804,,
str_93,0.25,0.25,-0.38412,-0.485838,0.101718,,
str_109,0.75,0.75,-0.05892,-0.019484075,0.039435925,,
str_141,0,0.75,-0.555559,-0.615362039,0.059803039,,
str_155,0.75,0.25,-0.527402,-0.607549,0.080147,,
str_157,0.5,0.5,-0.350167,-0.386093784,0.035926784,,
str_162,0.25,0.75,-0.663482,-0.766435,0.102953,,
str_173,0.2,0,6.00E-05,-0.091186,0.091246,,
str_174,0,0.2,-0.321501,-0.315971,0.00553,,
str_178,0.2,0.2,-0.28842,-0.395342,0.106922,,
str_179,0,0.4,-0.37482,-0.362382141,0.012437859,,
str_184,0.4,0,-0.037779,-0.060281694,0.022502694,,
str_212,0.6,0,-0.177219,-0.264944,0.087725,,
str_214,0.4,0.2,-0.405744,-0.469093,0.063349,,
str_218,0.8,0,-0.39186,-0.340273,0.051587,,
str_221,0.6,0.2,-0.482697,-0.483487,0.00079,,
str_227,0.2,0.4,-0.478824,-0.46505028,0.01377372,,
str_228,0.4,0.4,-0.525063,-0.634825,0.109762,,
str_244,0,0.6,-0.4947,-0.569710362,0.075010362,,
str_245,0.2,0.6,-0.589296,-0.627089202,0.037793202,,
str_271,0.4,0.6,-0.595749,-0.688795,0.093046,,
str_284,1,0.2,-0.516861,-0.496131,0.02073,,
str_285,0.8,0.4,-0.408975,-0.351750676,0.057224324,,
str_412,0,0.8,-0.796818,-0.761782,0.035036,,
str_467,0.6,0.4,-0.318813,-0.342346531,0.023533531,,
str_474,0.6,0.6,-0.118945,-0.210850123,0.091905123,,
str_481,0.2,0.8,-0.904734,-0.814325824,0.090408176,,
str_527,0.166666667,0.166666667,-0.164653,-0.207444446,0.042791446,,
str_627,0.166666667,0.333333333,-0.378403,-0.419633996,0.041230996,,
str_1179,0.166666667,0,-0.0976403,-0.095953,0.0016873,,
