2.818598 0.000000 0.000000
-1.409299 2.440978 0.000000
0.000000 0.000000 46.903955
-0.000000 -1.000000 0.000000
6.000000 3.000000 0.000000
0.000000 -0.000000 1.000000
0.333333 -0.333333 0.599371 H
0.666667 -0.666667 0.610455 O
0.666667 -0.666667 0.426403 Pt
0.333333 -0.333333 0.475468 Pt
6.000000 2.000000 0.522990 Pt
0.666667 -0.666667 0.571157 Pt
1.333333 -0.333333 0.599371 H
1.666667 0.333333 0.610455 Vac
1.666667 0.333333 0.426403 Pt
1.333333 -0.333333 0.475468 Pt
1.000000 -0.000000 0.522990 Pt
1.666667 0.333333 0.571157 Pt
2.333333 0.666667 0.599371 H
2.666667 0.333333 0.610455 Vac
2.666667 0.333333 0.426403 Pt
2.333333 0.666667 0.475468 Pt
2.000000 -0.000000 0.522990 Pt
2.666667 0.333333 0.571157 Pt
3.333333 0.666667 0.599371 Vac
3.666667 1.333333 0.610455 O
3.666667 1.333333 0.426403 Pt
3.333333 0.666667 0.475468 Pt
3.000000 1.000000 0.522990 Pt
3.666667 1.333333 0.571157 Pt
4.333333 1.666667 0.599371 H
4.666667 1.333333 0.610455 Vac
4.666667 1.333333 0.426403 Pt
4.333333 1.666667 0.475468 Pt
4.000000 1.000000 0.522990 Pt
4.666667 1.333333 0.571157 Pt
5.333333 1.666667 0.599371 H
5.666667 2.333333 0.610455 Vac
5.666667 2.333333 0.426403 Pt
5.333333 1.666667 0.475468 Pt
5.000000 2.000000 0.522990 Pt
5.666667 2.333333 0.571157 Pt
